seed_key,brand,model,camera_class,sensor_model,sensor_technology,color_mode,sensor_width_mm,sensor_height_mm,resolution_width_px,resolution_height_px,pixel_size_um,bit_depth,max_fps,cooled,cooling_delta_c,shutter_type,backfocus_mm,source_url
astro-camera::zwo::asi2600mc pro,ZWO,ASI2600MC Pro,DEEP_SKY,Sony IMX571,CMOS,COLOR,23.5,15.7,6248,4176,3.76,16,3.51,1,35,ROLLING,17.5,https://www.zwoastro.com/product/new-asi2600mm-mc-pro/
astro-camera::zwo::asi2600mm pro,ZWO,ASI2600MM Pro,DEEP_SKY,Sony IMX571,CMOS,MONO,23.5,15.7,6248,4176,3.76,16,3.51,1,35,ROLLING,17.5,https://www.zwoastro.com/product/new-asi2600mm-mc-pro/
astro-camera::zwo::asi533mc pro,ZWO,ASI533MC Pro,DEEP_SKY,Sony IMX533,CMOS,COLOR,11.3,11.3,3008,3008,3.76,14,20,1,35,ROLLING,6.5,https://www.zwoastro.com/compare/
astro-camera::zwo::asi533mm pro,ZWO,ASI533MM Pro,DEEP_SKY,Sony IMX533,CMOS,MONO,11.3,11.3,3008,3008,3.76,14,20,1,35,ROLLING,6.5,https://www.zwoastro.com/compare/
astro-camera::zwo::asi585mc pro,ZWO,ASI585MC Pro,ALL_ROUND,Sony IMX585,CMOS,COLOR,11.1,6.3,3840,2160,2.9,12,46.9,1,35,ROLLING,6.5,https://www.zwoastro.com/compare/
astro-camera::zwo::asi678mc,ZWO,ASI678MC,PLANETARY,Sony IMX678,CMOS,COLOR,7.68,4.32,3840,2160,2.0,12,47.5,0,,ROLLING,12.5,https://www.zwoastro.com/product/zwo-asi678mc/
astro-camera::zwo::asi662mc,ZWO,ASI662MC,PLANETARY,Sony IMX662,CMOS,COLOR,5.57,3.13,1920,1080,2.9,12,107.6,0,,ROLLING,12.5,https://www.zwoastro.com/product/asi662mc/
astro-camera::qhyccd::qhy268c,QHYCCD,QHY268C,DEEP_SKY,Sony IMX571,CMOS,COLOR,23.5,15.7,6252,4176,3.76,16,6.8,1,35,ROLLING,12.5,https://www.qhyccd.com/astronomical-camera-qhy268/
astro-camera::qhyccd::qhy533c,QHYCCD,QHY533C,DEEP_SKY,Sony IMX533,CMOS,COLOR,11.31,11.31,3008,3028,3.76,14,26.5,1,35,ROLLING,17,https://www.qhyccd.com/astronomical-camera-qhy533/
astro-camera::qhyccd::qhy533m,QHYCCD,QHY533M,DEEP_SKY,Sony IMX533,CMOS,MONO,11.31,11.31,3008,3028,3.76,14,26.5,1,35,ROLLING,14,https://www.qhyccd.com/astronomical-camera-qhy533/
astro-camera::qhyccd::qhy600ph-c,QHYCCD,QHY600PH-C,DEEP_SKY,Sony IMX455,CMOS,COLOR,36,24,9576,6388,3.76,16,4,1,35,ROLLING,23.5,https://www.qhyccd.com/astronomical-camera-qhy600/
astro-camera::qhyccd::qhy5iii585c,QHYCCD,QHY5III585C,PLANETARY,Sony IMX585,CMOS,COLOR,11.2,6.3,3856,2180,2.9,12,41.5,0,,ROLLING,17,https://www.qhyccd.com/qhy5iii585/
astro-camera::player one astronomy::poseidon-c pro,Player One Astronomy,Poseidon-C Pro,DEEP_SKY,Sony IMX571,CMOS,COLOR,23.5,15.7,6252,4176,3.76,16,15,1,40,ROLLING,17.5,https://player-one-astronomy.com/download/Product%20specification%20manual/Poseidon-C%20Pro%20camera%20Manual.pdf
astro-camera::player one astronomy::ares-c pro,Player One Astronomy,Ares-C Pro,DEEP_SKY,Sony IMX533,CMOS,COLOR,11.31,11.31,3008,3008,3.76,14,43,1,40,ROLLING,17.5,https://player-one-astronomy.com/download/Product%20specification%20manual/Ares-C%20Pro%20camera%20Manual.pdf
astro-camera::player one astronomy::uranus-c pro,Player One Astronomy,Uranus-C Pro,ALL_ROUND,Sony IMX585,CMOS,COLOR,11.2,6.3,3856,2180,2.9,12,47,1,40,ROLLING,17.5,https://player-one-astronomy.com/product/uranus-c-pro-usb3-0-color-camera-imx585/
astro-camera::atik::apx26 colour,Atik,Apx26 Colour,DEEP_SKY,Sony IMX571,CMOS,COLOR,23.5,15.7,6248,4176,3.76,16,4,1,35,ROLLING,17.5,https://www.atik-cameras.com/products/apx26/
astro-camera::atik::apx26 mono,Atik,Apx26 Mono,DEEP_SKY,Sony IMX571,CMOS,MONO,23.5,15.7,6248,4176,3.76,16,4,1,35,ROLLING,17.5,https://www.atik-cameras.com/products/apx26/
