seed_key,brand,model,magnification,objective_diameter_mm,image_stabilized
binocular::celestron::cometron 7x50::7::50,Celestron,Cometron 7x50,7,50,0
binocular::celestron::skymaster 7x50::7::50,Celestron,SkyMaster 7x50,7,50,0
binocular::celestron::skymaster 8x56::8::56,Celestron,SkyMaster 8x56,8,56,0
binocular::celestron::nature dx ed 8x42::8::42,Celestron,Nature DX ED 8x42,8,42,0
binocular::celestron::nature dx ed 10x42::10::42,Celestron,Nature DX ED 10x42,10,42,0
binocular::celestron::regal ed 8x42::8::42,Celestron,Regal ED 8x42,8,42,0
binocular::celestron::regal ed 10x42::10::42,Celestron,Regal ED 10x42,10,42,0
binocular::celestron::skymaster 10x50::10::50,Celestron,SkyMaster 10x50,10,50,0
binocular::celestron::skymaster 12x60::12::60,Celestron,SkyMaster 12x60,12,60,0
binocular::celestron::skymaster pro 15x70::15::70,Celestron,SkyMaster Pro 15x70,15,70,0
binocular::celestron::skymaster pro 20x80::20::80,Celestron,SkyMaster Pro 20x80,20,80,0
binocular::celestron::skymaster 25x100::25::100,Celestron,SkyMaster 25x100,25,100,0
binocular::nikon::aculon a211 7x50::7::50,Nikon,Aculon A211 7x50,7,50,0
binocular::nikon::aculon a211 10x50::10::50,Nikon,Aculon A211 10x50,10,50,0
binocular::nikon::aculon a211 12x50::12::50,Nikon,Aculon A211 12x50,12,50,0
binocular::nikon::aculon a211 16x50::16::50,Nikon,Aculon A211 16x50,16,50,0
binocular::nikon::action ex 7x50 cf::7::50,Nikon,Action EX 7x50 CF,7,50,0
binocular::nikon::action ex 10x50 cf::10::50,Nikon,Action EX 10x50 CF,10,50,0
binocular::nikon::action ex 12x50 cf::12::50,Nikon,Action EX 12x50 CF,12,50,0
binocular::nikon::monarch m5 8x42::8::42,Nikon,Monarch M5 8x42,8,42,0
binocular::nikon::monarch m5 10x42::10::42,Nikon,Monarch M5 10x42,10,42,0
binocular::nikon::monarch m7 8x42::8::42,Nikon,Monarch M7 8x42,8,42,0
binocular::nikon::monarch m7 10x42::10::42,Nikon,Monarch M7 10x42,10,42,0
binocular::nikon::prostaff p7 8x42::8::42,Nikon,Prostaff P7 8x42,8,42,0
binocular::nikon::prostaff p7 10x42::10::42,Nikon,Prostaff P7 10x42,10,42,0
binocular::canon::8x20 is::8::20,Canon,8x20 IS,8,20,1
binocular::canon::10x20 is::10::20,Canon,10x20 IS,10,20,1
binocular::canon::10x30 is ii::10::30,Canon,10x30 IS II,10,30,1
binocular::canon::12x32 is::12::32,Canon,12x32 IS,12,32,1
binocular::canon::12x36 is iii::12::36,Canon,12x36 IS III,12,36,1
binocular::canon::10x42 l is wp::10::42,Canon,10x42 L IS WP,10,42,1
binocular::canon::15x50 is all weather::15::50,Canon,15x50 IS All Weather,15,50,1
binocular::canon::18x50 is all weather::18::50,Canon,18x50 IS All Weather,18,50,1
binocular::fujinon::mariner 7x50 wpc-xl::7::50,Fujinon,Mariner 7x50 WPC-XL,7,50,0
binocular::fujinon::fmt-sx 7x50::7::50,Fujinon,FMT-SX 7x50,7,50,0
binocular::fujinon::fmtr-sx 7x50::7::50,Fujinon,FMTR-SX 7x50,7,50,0
binocular::fujinon::fmt-sx 10x50::10::50,Fujinon,FMT-SX 10x50,10,50,0
binocular::fujinon::fmtr-sx 10x50::10::50,Fujinon,FMTR-SX 10x50,10,50,0
