object_id,catalogue,designation,sort_index,is_primary
messier-M1,Messier,M1,1,1
messier-M2,Messier,M2,2,1
messier-M3,Messier,M3,3,1
messier-M4,Messier,M4,4,1
messier-M5,Messier,M5,5,1
messier-M6,Messier,M6,6,1
messier-M7,Messier,M7,7,1
messier-M8,Messier,M8,8,1
messier-M9,Messier,M9,9,1
messier-M10,Messier,M10,10,1
messier-M11,Messier,M11,11,1
messier-M12,Messier,M12,12,1
messier-M13,Messier,M13,13,1
messier-M14,Messier,M14,14,1
messier-M15,Messier,M15,15,1
messier-M16,Messier,M16,16,1
messier-M17,Messier,M17,17,1
messier-M18,Messier,M18,18,1
messier-M19,Messier,M19,19,1
messier-M20,Messier,M20,20,1
messier-M21,Messier,M21,21,1
messier-M22,Messier,M22,22,1
messier-M23,Messier,M23,23,1
messier-M24,Messier,M24,24,1
messier-M25,Messier,M25,25,1
messier-M26,Messier,M26,26,1
messier-M27,Messier,M27,27,1
messier-M28,Messier,M28,28,1
messier-M29,Messier,M29,29,1
messier-M30,Messier,M30,30,1
messier-M31,Messier,M31,31,1
messier-M32,Messier,M32,32,1
messier-M33,Messier,M33,33,1
messier-M34,Messier,M34,34,1
messier-M35,Messier,M35,35,1
messier-M36,Messier,M36,36,1
messier-M37,Messier,M37,37,1
messier-M38,Messier,M38,38,1
messier-M39,Messier,M39,39,1
messier-M40,Messier,M40,40,1
messier-M41,Messier,M41,41,1
messier-M42,Messier,M42,42,1
messier-M43,Messier,M43,43,1
messier-M44,Messier,M44,44,1
messier-M45,Messier,M45,45,1
messier-M46,Messier,M46,46,1
messier-M47,Messier,M47,47,1
messier-M48,Messier,M48,48,1
messier-M49,Messier,M49,49,1
messier-M50,Messier,M50,50,1
messier-M51,Messier,M51,51,1
messier-M52,Messier,M52,52,1
messier-M53,Messier,M53,53,1
messier-M54,Messier,M54,54,1
messier-M55,Messier,M55,55,1
messier-M56,Messier,M56,56,1
messier-M57,Messier,M57,57,1
messier-M58,Messier,M58,58,1
messier-M59,Messier,M59,59,1
messier-M60,Messier,M60,60,1
messier-M61,Messier,M61,61,1
messier-M62,Messier,M62,62,1
messier-M63,Messier,M63,63,1
messier-M64,Messier,M64,64,1
messier-M65,Messier,M65,65,1
messier-M66,Messier,M66,66,1
messier-M67,Messier,M67,67,1
messier-M68,Messier,M68,68,1
messier-M69,Messier,M69,69,1
messier-M70,Messier,M70,70,1
messier-M71,Messier,M71,71,1
messier-M72,Messier,M72,72,1
messier-M73,Messier,M73,73,1
messier-M74,Messier,M74,74,1
messier-M75,Messier,M75,75,1
messier-M76,Messier,M76,76,1
messier-M77,Messier,M77,77,1
messier-M78,Messier,M78,78,1
messier-M79,Messier,M79,79,1
messier-M80,Messier,M80,80,1
messier-M81,Messier,M81,81,1
messier-M82,Messier,M82,82,1
messier-M83,Messier,M83,83,1
messier-M84,Messier,M84,84,1
messier-M85,Messier,M85,85,1
messier-M86,Messier,M86,86,1
messier-M87,Messier,M87,87,1
messier-M88,Messier,M88,88,1
messier-M89,Messier,M89,89,1
messier-M90,Messier,M90,90,1
messier-M91,Messier,M91,91,1
messier-M92,Messier,M92,92,1
messier-M93,Messier,M93,93,1
messier-M94,Messier,M94,94,1
messier-M95,Messier,M95,95,1
messier-M96,Messier,M96,96,1
messier-M97,Messier,M97,97,1
messier-M98,Messier,M98,98,1
messier-M99,Messier,M99,99,1
messier-M100,Messier,M100,100,1
messier-M101,Messier,M101,101,1
messier-M102,Messier,M102,102,1
messier-M103,Messier,M103,103,1
messier-M104,Messier,M104,104,1
messier-M105,Messier,M105,105,1
messier-M106,Messier,M106,106,1
messier-M107,Messier,M107,107,1
messier-M108,Messier,M108,108,1
messier-M109,Messier,M109,109,1
messier-M110,Messier,M110,110,1
