seed_key,brand,model,eyepiece_type,focal_length_mm,min_focal_length_mm,max_focal_length_mm,apparent_field_deg,afov_min,afov_max,notes,zoom_click_positions_mm
eyepiece::baader::classic ortho::6,Baader,Classic Ortho,Fixed,6,,,50,,,Manufacturer catalog series.,
eyepiece::baader::classic ortho::10,Baader,Classic Ortho,Fixed,10,,,50,,,Manufacturer catalog series.,
eyepiece::baader::classic ortho::18,Baader,Classic Ortho,Fixed,18,,,50,,,Manufacturer catalog series.,
eyepiece::baader::classic plossl::32,Baader,Classic Plossl,Fixed,32,,,50,,,Manufacturer catalog series.,
eyepiece::baader::hyperion::5,Baader,Hyperion,Fixed,5,,,68,,,Manufacturer catalog series.,
eyepiece::baader::hyperion::8,Baader,Hyperion,Fixed,8,,,68,,,Manufacturer catalog series.,
eyepiece::baader::hyperion::10,Baader,Hyperion,Fixed,10,,,68,,,Manufacturer catalog series.,
eyepiece::baader::hyperion::13,Baader,Hyperion,Fixed,13,,,68,,,Manufacturer catalog series.,
eyepiece::baader::hyperion::17,Baader,Hyperion,Fixed,17,,,68,,,Manufacturer catalog series.,
eyepiece::baader::hyperion::21,Baader,Hyperion,Fixed,21,,,68,,,Manufacturer catalog series.,
eyepiece::baader::hyperion::24,Baader,Hyperion,Fixed,24,,,68,,,Manufacturer catalog series.,
eyepiece::baader::hyperion zoom 8-24 mm::24,Baader,Hyperion Zoom 8-24 mm,Zoom,24,8,24,60,48,68,Zoom eyepiece; AFOV varies 48-68 deg by focal position; click positions 24/20/16/12/8 mm.,24;20;16;12;8
eyepiece::baader::morpheus::4.5,Baader,Morpheus,Fixed,4.5,,,76,,,Manufacturer catalog series.,
eyepiece::baader::morpheus::6.5,Baader,Morpheus,Fixed,6.5,,,76,,,Manufacturer catalog series.,
eyepiece::baader::morpheus::9,Baader,Morpheus,Fixed,9,,,76,,,Manufacturer catalog series.,
eyepiece::baader::morpheus::12.5,Baader,Morpheus,Fixed,12.5,,,76,,,Manufacturer catalog series.,
eyepiece::baader::morpheus::14,Baader,Morpheus,Fixed,14,,,76,,,Manufacturer catalog series.,
eyepiece::baader::morpheus::17.5,Baader,Morpheus,Fixed,17.5,,,76,,,Manufacturer catalog series.,
eyepiece::celestron::luminos::7,Celestron,Luminos,Fixed,7,,,82,,,Manufacturer catalog series.,
eyepiece::celestron::luminos::10,Celestron,Luminos,Fixed,10,,,82,,,Manufacturer catalog series.,
eyepiece::celestron::luminos::15,Celestron,Luminos,Fixed,15,,,82,,,Manufacturer catalog series.,
eyepiece::celestron::luminos::19,Celestron,Luminos,Fixed,19,,,82,,,Manufacturer catalog series.,
eyepiece::celestron::luminos::23,Celestron,Luminos,Fixed,23,,,82,,,Manufacturer catalog series.,
eyepiece::celestron::luminos::31,Celestron,Luminos,Fixed,31,,,82,,,Manufacturer catalog series.,
eyepiece::celestron::omni plossl::4,Celestron,Omni Plossl,Fixed,4,,,50,,,Manufacturer catalog specification.,
eyepiece::celestron::omni plossl::6,Celestron,Omni Plossl,Fixed,6,,,50,,,Manufacturer catalog specification.,
eyepiece::celestron::omni plossl::9,Celestron,Omni Plossl,Fixed,9,,,50,,,Manufacturer catalog specification.,
eyepiece::celestron::omni plossl::12,Celestron,Omni Plossl,Fixed,12,,,50,,,Manufacturer catalog specification.,
eyepiece::celestron::omni plossl::15,Celestron,Omni Plossl,Fixed,15,,,50,,,Manufacturer catalog specification.,
eyepiece::celestron::omni plossl::32,Celestron,Omni Plossl,Fixed,32,,,48,,,Manufacturer catalog specification.,
eyepiece::celestron::omni plossl::40,Celestron,Omni Plossl,Fixed,40,,,40,,,Manufacturer catalog specification.,
eyepiece::celestron::omni plossl::56,Celestron,Omni Plossl,Fixed,56,,,47,,,Manufacturer catalog specification.,
eyepiece::celestron::x-cel lx::2.3,Celestron,X-Cel LX,Fixed,2.3,,,60,,,Manufacturer catalog series.,
eyepiece::celestron::x-cel lx::5,Celestron,X-Cel LX,Fixed,5,,,60,,,Manufacturer catalog series.,
eyepiece::celestron::x-cel lx::7,Celestron,X-Cel LX,Fixed,7,,,60,,,Manufacturer catalog series.,
eyepiece::celestron::x-cel lx::9,Celestron,X-Cel LX,Fixed,9,,,60,,,Manufacturer catalog series.,
eyepiece::celestron::x-cel lx::12,Celestron,X-Cel LX,Fixed,12,,,60,,,Manufacturer catalog series.,
eyepiece::celestron::x-cel lx::18,Celestron,X-Cel LX,Fixed,18,,,60,,,Manufacturer catalog series.,
eyepiece::celestron::x-cel lx::25,Celestron,X-Cel LX,Fixed,25,,,60,,,Manufacturer catalog series.,
eyepiece::celestron::zoom 8-24 mm::24,Celestron,Zoom 8-24 mm,Zoom,24,8,24,50,40,60,"Zoom eyepiece; AFOV varies 40-60 deg by focal position, midpoint estimate used.",
eyepiece::explore scientific::52 series::3,Explore Scientific,52 Series,Fixed,3,,,52,,,Manufacturer catalog series.,
eyepiece::explore scientific::52 series::4.5,Explore Scientific,52 Series,Fixed,4.5,,,52,,,Manufacturer catalog series.,
eyepiece::explore scientific::52 series::6.5,Explore Scientific,52 Series,Fixed,6.5,,,52,,,Manufacturer catalog series.,
eyepiece::explore scientific::52 series::10,Explore Scientific,52 Series,Fixed,10,,,52,,,Manufacturer catalog series.,
eyepiece::explore scientific::52 series::15,Explore Scientific,52 Series,Fixed,15,,,52,,,Manufacturer catalog series.,
eyepiece::explore scientific::52 series::20,Explore Scientific,52 Series,Fixed,20,,,52,,,Manufacturer catalog series.,
eyepiece::explore scientific::52 series::25,Explore Scientific,52 Series,Fixed,25,,,52,,,Manufacturer catalog series.,
eyepiece::explore scientific::62 series::5.5,Explore Scientific,62 Series,Fixed,5.5,,,62,,,Manufacturer catalog series.,
eyepiece::explore scientific::62 series::9,Explore Scientific,62 Series,Fixed,9,,,62,,,Manufacturer catalog series.,
eyepiece::explore scientific::62 series::14,Explore Scientific,62 Series,Fixed,14,,,62,,,Manufacturer catalog series.,
eyepiece::explore scientific::62 series::20,Explore Scientific,62 Series,Fixed,20,,,62,,,Manufacturer catalog series.,
eyepiece::explore scientific::62 series::26,Explore Scientific,62 Series,Fixed,26,,,62,,,Manufacturer catalog series.,
eyepiece::explore scientific::68 series::16,Explore Scientific,68 Series,Fixed,16,,,68,,,Manufacturer catalog series.,
eyepiece::explore scientific::68 series::20,Explore Scientific,68 Series,Fixed,20,,,68,,,Manufacturer catalog series.,
eyepiece::explore scientific::68 series::24,Explore Scientific,68 Series,Fixed,24,,,68,,,Manufacturer catalog series.,
eyepiece::explore scientific::68 series::28,Explore Scientific,68 Series,Fixed,28,,,68,,,Manufacturer catalog series.,
eyepiece::explore scientific::68 series::34,Explore Scientific,68 Series,Fixed,34,,,68,,,Manufacturer catalog series.,
eyepiece::explore scientific::68 series::40,Explore Scientific,68 Series,Fixed,40,,,68,,,Manufacturer catalog series.,
eyepiece::explore scientific::82 series::4.7,Explore Scientific,82 Series,Fixed,4.7,,,82,,,Manufacturer catalog series.,
eyepiece::explore scientific::82 series::6.7,Explore Scientific,82 Series,Fixed,6.7,,,82,,,Manufacturer catalog series.,
eyepiece::explore scientific::82 series::8.8,Explore Scientific,82 Series,Fixed,8.8,,,82,,,Manufacturer catalog series.,
eyepiece::explore scientific::82 series::11,Explore Scientific,82 Series,Fixed,11,,,82,,,Manufacturer catalog series.,
eyepiece::explore scientific::82 series::14,Explore Scientific,82 Series,Fixed,14,,,82,,,Manufacturer catalog series.,
eyepiece::explore scientific::82 series::18,Explore Scientific,82 Series,Fixed,18,,,82,,,Manufacturer catalog series.,
eyepiece::explore scientific::82 series::24,Explore Scientific,82 Series,Fixed,24,,,82,,,Manufacturer catalog series.,
eyepiece::explore scientific::82 series::30,Explore Scientific,82 Series,Fixed,30,,,82,,,Manufacturer catalog series.,
eyepiece::meade::series 4000 super plossl::6.4,Meade,Series 4000 Super Plossl,Fixed,6.4,,,52,,,Manufacturer catalog series.,
eyepiece::meade::series 4000 super plossl::9.7,Meade,Series 4000 Super Plossl,Fixed,9.7,,,52,,,Manufacturer catalog series.,
