name,latitude,longitude,radius_km,bortle_class,sky_brightness,limiting_magnitude,source,confidence
Milano urban area,45.4642,9.19,35,8,18.1,4.1,NightScope local urban baseline,medium
Roma urban area,41.9028,12.4964,35,8,18.1,4.1,NightScope local urban baseline,medium
Torino urban area,45.0703,7.6869,30,7,18.8,4.6,NightScope local urban baseline,medium
Napoli urban area,40.8518,14.2681,30,8,18.1,4.1,NightScope local urban baseline,medium
Palermo urban area,38.1157,13.3615,28,7,18.8,4.6,NightScope local urban baseline,medium
Addis Ababa urban area,9.03,38.74,35,7,18.8,4.6,NightScope local urban baseline,medium
Nairobi urban area,-1.2921,36.8219,35,7,18.8,4.6,NightScope local urban baseline,medium
Cape Town urban area,-33.9249,18.4241,35,7,18.8,4.6,NightScope local urban baseline,medium
London urban area,51.5072,-0.1276,45,8,18.1,4.1,NightScope local urban baseline,medium
Paris urban area,48.8566,2.3522,45,8,18.1,4.1,NightScope local urban baseline,medium
Berlin urban area,52.52,13.405,35,7,18.8,4.6,NightScope local urban baseline,medium
Madrid urban area,40.4168,-3.7038,35,8,18.1,4.1,NightScope local urban baseline,medium
New York urban area,40.7128,-74.006,55,9,17.5,3.8,NightScope local urban baseline,medium
Los Angeles urban area,34.0522,-118.2437,60,9,17.5,3.8,NightScope local urban baseline,medium
Tokyo urban area,35.6762,139.6503,60,9,17.5,3.8,NightScope local urban baseline,medium
Sydney urban area,-33.8688,151.2093,40,8,18.1,4.1,NightScope local urban baseline,medium
Rural reference,42.5,12.5,20,4,20.8,6.1,Curated rural fallback reference,low
Dark-sky reference,42.0,13.5,15,3,21.3,6.6,Curated dark-sky fallback reference,low
