messier_id,nome,tipo,costellazione,magnitudine,ascensione_retta,declinazione,dimensione_apparente,max_angular_size_deg,recommended_observation_type,descrizione
M1,Crab Nebula,Supernova remnant,Taurus,8.4,05h 34m 31.9s,+22° 00′ 52.2″,420″ × 290″,0.117,General,M1 (NGC 1952) - Supernova remnant in Taurus.
M2,M2,Globular cluster,Aquarius,6.5,21h 33m 27.0s,-00° 49′ 23.7″,16′,0.267,General,M2 (NGC 7089) - Globular cluster in Aquarius.
M3,M3,Globular cluster,Canes Venatici,6.2,13h 42m 11.6s,+28° 22′ 38.2″,18′,0.300,General,M3 (NGC 5272) - Globular cluster in Canes Venatici.
M4,Spider Globular Cluster,Globular cluster,Scorpius,5.6,16h 23m 35.2s,-26° 31′ 32.7″,26′,0.433,General,M4 (NGC 6121) - Globular cluster in Scorpius.
M5,Rose Cluster,Globular cluster,Serpens,5.6,15h 18m 33.2s,+02° 04′ 51.7″,23′,0.383,General,M5 (NGC 5904) - Globular cluster in Serpens.
M6,Butterfly Cluster,Open cluster,Scorpius,4.2,17h 40.1m,-32° 13′,25′,0.417,WideField,M6 (NGC 6405) - Open cluster in Scorpius.
M7,Ptolemy's Cluster,Open cluster,Scorpius,3.3,17h 53m 51.2s,-34° 47′ 34″,80′,1.333,WideField,M7 (NGC 6475) - Open cluster in Scorpius.
M8,Lagoon Nebula,Nebula with cluster,Sagittarius,4.6,18h 03m 37s,-24° 23′ 12″,90′ × 40′,1.500,WideField,M8 (NGC 6523) - Nebula with cluster in Sagittarius.
M9,M9,Globular cluster,Ophiuchus,7.7,17h 19m 11.8s,-18° 30′ 58.5″,9.3′,0.155,HighMagnification,M9 (NGC 6333) - Globular cluster in Ophiuchus.
M10,M10,Globular cluster,Ophiuchus,6.6,16h 57m 8.9s,-04° 05′ 58.1″,20′,0.333,General,M10 (NGC 6254) - Globular cluster in Ophiuchus.
M11,Wild Duck Cluster,Open cluster,Scutum,5.8,18h 51.1m,-06° 16′,22.8′,0.380,WideField,M11 (NGC 6705) - Open cluster in Scutum.
M12,M12,Globular cluster,Ophiuchus,6.7,16h 47m 14.2s,-01° 56′ 54.7″,16′,0.267,General,M12 (NGC 6218) - Globular cluster in Ophiuchus.
M13,Great Hercules Cluster,Globular cluster,Hercules,5.8,16h 41m 41.2s,+36° 27′ 35.5″,20′,0.333,General,M13 (NGC 6205) - Globular cluster in Hercules.
M14,M14,Globular cluster,Ophiuchus,7.6,17h 37m 36.2s,-03° 14′ 45.3″,11′,0.183,General,M14 (NGC 6402) - Globular cluster in Ophiuchus.
M15,Great Pegasus Cluster,Globular cluster,Pegasus,6.2,21h 29m 58.3s,+12° 10′ 01.2″,18′,0.300,General,M15 (NGC 7078) - Globular cluster in Pegasus.
M16,Eagle Nebula,H II region nebula with cluster,Serpens,6.4,18h 18m 48s,-13° 49′,70′ × 50′,1.167,WideField,M16 (NGC 6611) - H II region nebula with cluster in Serpens.
M17,"Omega, Swan, Horseshoe, Lobster, or Checkmark Nebula",H II region nebula with cluster,Sagittarius,6.0,18h 20m 26s,-16° 10′ 36″,11′,0.183,General,M17 (NGC 6618) - H II region nebula with cluster in Sagittarius.
M18,Black Swan Cluster,Open cluster,Sagittarius,7.5,18h 19.9m,-17° 08′,9.8′,0.163,General,M18 (NGC 6613) - Open cluster in Sagittarius.
