seed_key,brand,model,optical_type,aperture_mm,focal_length_mm,focal_ratio,mount_type,notes,instrument_category
telescope::askar::103apo,Askar,103APO,rifrattore,103,700,6.8,OTA,Manufacturer catalog specification.
telescope::askar::120apo,Askar,120APO,rifrattore,120,840,7,OTA,Manufacturer catalog specification.
telescope::askar::151phq,Askar,151PHQ,rifrattore Petzval,151,1057,7,OTA,Manufacturer catalog specification.
telescope::askar::fra300 pro,Askar,FRA300 Pro,rifrattore Petzval,60,300,5,OTA,Manufacturer catalog specification.
telescope::askar::fra400,Askar,FRA400,rifrattore Petzval,72,400,5.6,OTA,Manufacturer catalog specification.
telescope::askar::fra500,Askar,FRA500,rifrattore Petzval,90,500,5.6,OTA,Manufacturer catalog specification.
telescope::bresser::messier ar-102/1000,Bresser,Messier AR-102/1000,rifrattore,102,1000,9.8,equatoriale,Manufacturer catalog specification.
telescope::bresser::messier ar-102/600,Bresser,Messier AR-102/600,rifrattore,102,600,5.9,OTA,Manufacturer catalog specification.
telescope::bresser::messier ar-127l/1200,Bresser,Messier AR-127L/1200,rifrattore,127,1200,9.4,equatoriale,Manufacturer catalog specification.
telescope::bresser::messier ar-80/640,Bresser,Messier AR-80/640,rifrattore,80,640,8,OTA,Manufacturer catalog specification.
telescope::bresser::messier ar-90/900,Bresser,Messier AR-90/900,rifrattore,90,900,10,equatoriale,Manufacturer catalog specification.
telescope::bresser::messier mc-100/1400,Bresser,Messier MC-100/1400,Maksutov,100,1400,14,OTA,Manufacturer catalog specification.
telescope::bresser::messier mc-127/1900,Bresser,Messier MC-127/1900,Maksutov,127,1900,15,OTA,Manufacturer catalog specification.
telescope::bresser::messier nt-130/1000,Bresser,Messier NT-130/1000,Newton,130,1000,7.7,equatoriale,Manufacturer catalog specification.
telescope::bresser::messier nt-150s/750,Bresser,Messier NT-150S/750,Newton,150,750,5,equatoriale,Manufacturer catalog specification.
telescope::bresser::messier nt-203/1000,Bresser,Messier NT-203/1000,Newton,203,1000,4.9,equatoriale,Manufacturer catalog specification.
telescope::celestron::astromaster 102az,Celestron,AstroMaster 102AZ,rifrattore,102,660,6.5,altazimutale,Manufacturer catalog specification.
telescope::celestron::astromaster 114eq,Celestron,AstroMaster 114EQ,Newton,114,1000,8.8,equatoriale,Manufacturer catalog specification.
telescope::celestron::astromaster 130eq,Celestron,AstroMaster 130EQ,Newton,130,650,5,equatoriale,Manufacturer catalog specification.
telescope::celestron::astromaster 70az,Celestron,AstroMaster 70AZ,rifrattore,70,900,12.9,altazimutale,Manufacturer catalog specification.
telescope::celestron::astromaster 90az,Celestron,AstroMaster 90AZ,rifrattore,90,1000,11.1,altazimutale,Manufacturer catalog specification.
telescope::celestron::edgehd 11 ota,Celestron,EdgeHD 11 OTA,Schmidt-Cassegrain,280,2800,10,OTA,Manufacturer catalog specification.
telescope::celestron::edgehd 8 ota,Celestron,EdgeHD 8 OTA,Schmidt-Cassegrain,203,2032,10,OTA,Manufacturer catalog specification.
telescope::celestron::edgehd 9.25 ota,Celestron,EdgeHD 9.25 OTA,Schmidt-Cassegrain,235,2350,10,OTA,Manufacturer catalog specification.
telescope::celestron::nexstar 130slt,Celestron,NexStar 130SLT,Newton,130,650,5,GoTo altazimutale,Manufacturer catalog specification.
telescope::celestron::nexstar 4se,Celestron,NexStar 4SE,Maksutov,102,1325,13,GoTo altazimutale,Manufacturer catalog specification.
telescope::celestron::nexstar 5se,Celestron,NexStar 5SE,Schmidt-Cassegrain,125,1250,10,GoTo altazimutale,Manufacturer catalog specification.
telescope::celestron::nexstar 6se,Celestron,NexStar 6SE,Schmidt-Cassegrain,150,1500,10,GoTo altazimutale,Manufacturer catalog specification.
