scenario_id,scenario_name,weather_state,seeing,seeing_score,transparency,transparency_score,bortle_class,viirs_radiance,target_id,target_name,target_category,object_type,observation_type,equipment_type,setup_type,setup_text,display_label,suggested_position,magnification,magnification_value,barlow,difficulty,selection_score,alternative,high_magnification,wide_field,option_count,duplicate_option_count,ambiguous_option_label_count,explanation
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,mercury,Mercurio,Planet,Pianeta,HighMagnification,NakedEye,naked_eye,Occhio nudo,,,n/d,,No,Difficile,20.0,Occhio nudo,,,0,0,0,Oggetto compatibile con osservazione a occhio nudo.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,venus,Venere,Planet,Pianeta,HighMagnification,NakedEye,naked_eye,Occhio nudo,,,n/d,,No,Facile,20.0,Occhio nudo,,,0,0,0,Oggetto compatibile con osservazione a occhio nudo.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,mars,Marte,Planet,Pianeta,HighMagnification,NakedEye,naked_eye,Occhio nudo,,,n/d,,No,Media,20.0,Occhio nudo,,,0,0,0,Oggetto compatibile con osservazione a occhio nudo.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,jupiter,Giove,Planet,Pianeta,HighMagnification,NakedEye,naked_eye,Occhio nudo,,,n/d,,No,Facile,20.0,Occhio nudo,,,0,0,0,Oggetto compatibile con osservazione a occhio nudo.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,saturn,Saturno,Planet,Pianeta,HighMagnification,NakedEye,naked_eye,Occhio nudo,,,n/d,,No,Media,20.0,Occhio nudo,,,0,0,0,Oggetto compatibile con osservazione a occhio nudo.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,uranus,Urano,Planet,Pianeta,HighMagnification,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,neptune,Nettuno,Planet,Pianeta,HighMagnification,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M1,M1 Crab Nebula,Messier general,Supernova remnant,General,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M3,M3,Messier globular,Globular cluster,General,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M5,M5 Rose Cluster,Messier globular,Globular cluster,General,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M7,M7 Ptolemy's Cluster,Messier wide-field,Open cluster,WideField,NakedEye,naked_eye,Occhio nudo,,,n/d,,No,Facile,20.0,Occhio nudo,,,0,0,0,Oggetto compatibile con osservazione a occhio nudo.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M8,M8 Lagoon Nebula,Messier wide-field,Nebula with cluster,WideField,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M13,M13 Great Hercules Cluster,Messier globular,Globular cluster,General,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M15,M15 Great Pegasus Cluster,Messier globular,Globular cluster,General,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M17,"M17 Omega, Swan, Horseshoe, Lobster, or Checkmark Nebula",Messier nebula,H II region nebula with cluster,General,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M24,M24 Small Sagittarius Star Cloud,Messier wide-field,Milky Way star cloud,WideField,NakedEye,naked_eye,Occhio nudo,,,n/d,,No,Facile,20.0,Occhio nudo,,,0,0,0,Oggetto compatibile con osservazione a occhio nudo.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M27,M27 Dumbbell Nebula,Messier planetary nebula,Planetary nebula,General,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
P01,Solo occhio nudo,"sereno, meteo neutro",Unknown,,Unknown,,4,,messier-M31,M31 Andromeda Galaxy,Messier wide-field,Spiral galaxy,WideField,NakedEye,naked_eye,Serve almeno un binocolo o telescopio,,,n/d,,No,Non adatto a occhio nudo,0.0,Binocolo o telescopio consigliato,,,0,0,0,Oggetto non realistico senza strumento ottico.
